2023-11-30_02-25-37: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.001, 'optimizer': 'adam', 'momentum': 0.9, 'device': 'cuda:0', 'kernel_size': 3, 'flatten': False, 'model': 'resnet18'}
2023-11-30_02-27-20: Epoch: 1 | Train loss: 0.43854142916766375 | Train acc: {'40X': 80.92, '100X': 80.43, '200X': 86.14, '400X': 84.02, 'avg_acc': 82.88, 'all_acc': 82.83} | Valid loss: 0.3886934292316437 | Valid acc: {'40X': 80.95, '100X': 82.73, '200X': 84.83, '400X': 82.69, 'avg_acc': 82.8, 'all_acc': 82.81}| Runtime: 1.7 mins
2023-11-30_02-29-00: Epoch: 2 | Train loss: 0.36539806355092974 | Train acc: {'40X': 82.34, '100X': 84.32, '200X': 87.39, '400X': 84.25, 'avg_acc': 84.58, 'all_acc': 84.59} | Valid loss: 0.5146312922239303 | Valid acc: {'40X': 74.44, '100X': 75.3, '200X': 80.85, '400X': 80.77, 'avg_acc': 77.84, 'all_acc': 77.75}| Runtime: 1.7 mins
2023-11-30_02-30-41: Epoch: 3 | Train loss: 0.34149768394795627 | Train acc: {'40X': 83.78, '100X': 86.36, '200X': 87.89, '400X': 85.75, 'avg_acc': 85.94, 'all_acc': 85.96} | Valid loss: 0.3427067157626152 | Valid acc: {'40X': 83.96, '100X': 87.53, '200X': 86.07, '400X': 86.26, 'avg_acc': 85.96, 'all_acc': 85.97}| Runtime: 1.7 mins
2023-11-30_02-32-23: Epoch: 4 | Train loss: 0.3302084402357404 | Train acc: {'40X': 83.51, '100X': 87.47, '200X': 88.06, '400X': 85.5, 'avg_acc': 86.14, 'all_acc': 86.17} | Valid loss: 0.3886174961924553 | Valid acc: {'40X': 85.21, '100X': 83.45, '200X': 84.08, '400X': 83.79, 'avg_acc': 84.13, 'all_acc': 84.13}| Runtime: 1.7 mins
2023-11-30_02-34-04: Epoch: 5 | Train loss: 0.3312949613743537 | Train acc: {'40X': 84.84, '100X': 85.15, '200X': 87.88, '400X': 85.88, 'avg_acc': 85.94, 'all_acc': 85.94} | Valid loss: 0.522257151901722 | Valid acc: {'40X': 70.43, '100X': 71.94, '200X': 76.12, '400X': 76.92, 'avg_acc': 73.85, 'all_acc': 73.77}| Runtime: 1.7 mins
2023-11-30_02-35-44: Epoch: 6 | Train loss: 0.29943471608331074 | Train acc: {'40X': 86.45, '100X': 87.18, '200X': 89.54, '400X': 87.12, 'avg_acc': 87.57, 'all_acc': 87.58} | Valid loss: 0.3531996774673462 | Valid acc: {'40X': 84.71, '100X': 83.93, '200X': 86.32, '400X': 83.24, 'avg_acc': 84.55, 'all_acc': 84.58}| Runtime: 1.7 mins
2023-11-30_02-37-25: Epoch: 7 | Train loss: 0.303193335295529 | Train acc: {'40X': 85.1, '100X': 87.53, '200X': 88.97, '400X': 87.27, 'avg_acc': 87.22, 'all_acc': 87.23} | Valid loss: 0.42275251224637034 | Valid acc: {'40X': 77.94, '100X': 82.25, '200X': 85.57, '400X': 80.22, 'avg_acc': 81.5, 'all_acc': 81.54}| Runtime: 1.7 mins
2023-11-30_02-39-05: Epoch: 8 | Train loss: 0.2647693545331021 | Train acc: {'40X': 87.29, '100X': 88.2, '200X': 89.95, '400X': 89.72, 'avg_acc': 88.79, 'all_acc': 88.77} | Valid loss: 0.27796552516520023 | Valid acc: {'40X': 88.47, '100X': 90.65, '200X': 90.55, '400X': 89.29, 'avg_acc': 89.74, 'all_acc': 89.76}| Runtime: 1.7 mins
2023-11-30_02-40-46: Epoch: 9 | Train loss: 0.23587654989112067 | Train acc: {'40X': 89.11, '100X': 90.06, '200X': 92.12, '400X': 89.71, 'avg_acc': 90.25, 'all_acc': 90.27} | Valid loss: 0.3862373784184456 | Valid acc: {'40X': 81.45, '100X': 80.82, '200X': 86.82, '400X': 83.79, 'avg_acc': 83.22, 'all_acc': 83.19}| Runtime: 1.7 mins
2023-11-30_02-42-26: Epoch: 10 | Train loss: 0.24289494239397952 | Train acc: {'40X': 89.36, '100X': 90.38, '200X': 91.54, '400X': 88.89, 'avg_acc': 90.04, 'all_acc': 90.08} | Valid loss: 0.6781676521897316 | Valid acc: {'40X': 76.19, '100X': 73.62, '200X': 77.11, '400X': 79.67, 'avg_acc': 76.65, 'all_acc': 76.55}| Runtime: 1.7 mins
2023-11-30_02-42-26: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  80.92  80.43  86.14  84.02    82.88    82.83
1      2  82.34  84.32  87.39  84.25    84.58    84.59
2      3  83.78  86.36  87.89  85.75    85.94    85.96
3      4  83.51  87.47  88.06  85.50    86.14    86.17
4      5  84.84  85.15  87.88  85.88    85.94    85.94
5      6  86.45  87.18  89.54  87.12    87.57    87.58
6      7  85.10  87.53  88.97  87.27    87.22    87.23
7      8  87.29  88.20  89.95  89.72    88.79    88.77
8      9  89.11  90.06  92.12  89.71    90.25    90.27
9     10  89.36  90.38  91.54  88.89    90.04    90.08
2023-11-30_02-42-26: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  80.95  82.73  84.83  82.69    82.80    82.81
1      2  74.44  75.30  80.85  80.77    77.84    77.75
2      3  83.96  87.53  86.07  86.26    85.96    85.97
3      4  85.21  83.45  84.08  83.79    84.13    84.13
4      5  70.43  71.94  76.12  76.92    73.85    73.77
5      6  84.71  83.93  86.32  83.24    84.55    84.58
6      7  77.94  82.25  85.57  80.22    81.50    81.54
7      8  88.47  90.65  90.55  89.29    89.74    89.76
8      9  81.45  80.82  86.82  83.79    83.22    83.19
9     10  76.19  73.62  77.11  79.67    76.65    76.55
2023-11-30_02-42-26: Final test accuracy: {'40X': 88.72, '100X': 86.78, '200X': 94.04, '400X': 87.64, 'avg_acc': 89.3, 'all_acc': 89.32}
