2023-11-30_03-26-57: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.0001, 'optimizer': 'sgd', 'momentum': 0.9, 'device': 'cuda:0', 'kernel_size': 3, 'flatten': False, 'model': 'resnet18'}
2023-11-30_03-28-38: Epoch: 1 | Train loss: 0.5452799194970647 | Train acc: {'40X': 72.1, '100X': 71.83, '200X': 72.41, '400X': 73.3, 'avg_acc': 72.41, 'all_acc': 72.38} | Valid loss: 0.42485553205013277 | Valid acc: {'40X': 80.7, '100X': 82.25, '200X': 85.07, '400X': 84.62, 'avg_acc': 83.16, 'all_acc': 83.12}| Runtime: 1.7 mins
2023-11-30_03-30-18: Epoch: 2 | Train loss: 0.40527298704192444 | Train acc: {'40X': 82.02, '100X': 81.93, '200X': 84.99, '400X': 84.48, 'avg_acc': 83.36, 'all_acc': 83.32} | Valid loss: 0.37399945855140687 | Valid acc: {'40X': 82.71, '100X': 84.65, '200X': 85.57, '400X': 84.89, 'avg_acc': 84.46, 'all_acc': 84.45}| Runtime: 1.7 mins
2023-11-30_03-31-58: Epoch: 3 | Train loss: 0.37760641335232836 | Train acc: {'40X': 81.94, '100X': 82.26, '200X': 86.65, '400X': 84.47, 'avg_acc': 83.83, 'all_acc': 83.8} | Valid loss: 0.36308769971132276 | Valid acc: {'40X': 83.71, '100X': 84.41, '200X': 86.07, '400X': 84.62, 'avg_acc': 84.7, 'all_acc': 84.7}| Runtime: 1.7 mins
2023-11-30_03-33-38: Epoch: 4 | Train loss: 0.37125855583596873 | Train acc: {'40X': 81.26, '100X': 83.55, '200X': 87.22, '400X': 83.94, 'avg_acc': 83.99, 'all_acc': 83.99} | Valid loss: 0.3467406350374222 | Valid acc: {'40X': 82.96, '100X': 86.09, '200X': 87.06, '400X': 85.99, 'avg_acc': 85.52, 'all_acc': 85.52}| Runtime: 1.7 mins
2023-11-30_03-35-18: Epoch: 5 | Train loss: 0.35635959850372495 | Train acc: {'40X': 82.68, '100X': 83.71, '200X': 87.48, '400X': 85.4, 'avg_acc': 84.82, 'all_acc': 84.8} | Valid loss: 0.3384592252969742 | Valid acc: {'40X': 82.96, '100X': 86.33, '200X': 87.31, '400X': 86.81, 'avg_acc': 85.85, 'all_acc': 85.84}| Runtime: 1.7 mins
2023-11-30_03-37-00: Epoch: 6 | Train loss: 0.34494703031472257 | Train acc: {'40X': 83.5, '100X': 85.15, '200X': 87.06, '400X': 85.78, 'avg_acc': 85.37, 'all_acc': 85.37} | Valid loss: 0.3339430683851242 | Valid acc: {'40X': 83.21, '100X': 85.37, '200X': 86.82, '400X': 86.54, 'avg_acc': 85.48, 'all_acc': 85.46}| Runtime: 1.7 mins
2023-11-30_03-38-40: Epoch: 7 | Train loss: 0.33132177611460556 | Train acc: {'40X': 85.01, '100X': 84.98, '200X': 87.73, '400X': 85.61, 'avg_acc': 85.83, 'all_acc': 85.83} | Valid loss: 0.32298131942749025 | Valid acc: {'40X': 82.96, '100X': 86.33, '200X': 88.06, '400X': 87.09, 'avg_acc': 86.11, 'all_acc': 86.09}| Runtime: 1.7 mins
2023-11-30_03-40-20: Epoch: 8 | Train loss: 0.3235848298346674 | Train acc: {'40X': 83.07, '100X': 86.22, '200X': 87.47, '400X': 86.79, 'avg_acc': 85.89, 'all_acc': 85.87} | Valid loss: 0.3151980221271515 | Valid acc: {'40X': 83.46, '100X': 86.57, '200X': 88.31, '400X': 88.46, 'avg_acc': 86.7, 'all_acc': 86.66}| Runtime: 1.7 mins
2023-11-30_03-42-00: Epoch: 9 | Train loss: 0.32165710124615077 | Train acc: {'40X': 83.5, '100X': 85.23, '200X': 87.4, '400X': 86.97, 'avg_acc': 85.78, 'all_acc': 85.75} | Valid loss: 0.3135699370503426 | Valid acc: {'40X': 84.21, '100X': 86.09, '200X': 87.56, '400X': 87.09, 'avg_acc': 86.24, 'all_acc': 86.22}| Runtime: 1.7 mins
2023-11-30_03-43-40: Epoch: 10 | Train loss: 0.3058612286742475 | Train acc: {'40X': 84.53, '100X': 86.18, '200X': 89.05, '400X': 88.06, 'avg_acc': 86.96, 'all_acc': 86.93} | Valid loss: 0.30287338078022 | Valid acc: {'40X': 83.71, '100X': 86.57, '200X': 87.81, '400X': 87.64, 'avg_acc': 86.43, 'all_acc': 86.41}| Runtime: 1.7 mins
2023-11-30_03-43-40: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  72.10  71.83  72.41  73.30    72.41    72.38
1      2  82.02  81.93  84.99  84.48    83.36    83.32
2      3  81.94  82.26  86.65  84.47    83.83    83.80
3      4  81.26  83.55  87.22  83.94    83.99    83.99
4      5  82.68  83.71  87.48  85.40    84.82    84.80
5      6  83.50  85.15  87.06  85.78    85.37    85.37
6      7  85.01  84.98  87.73  85.61    85.83    85.83
7      8  83.07  86.22  87.47  86.79    85.89    85.87
8      9  83.50  85.23  87.40  86.97    85.78    85.75
9     10  84.53  86.18  89.05  88.06    86.96    86.93
2023-11-30_03-43-40: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  80.70  82.25  85.07  84.62    83.16    83.12
1      2  82.71  84.65  85.57  84.89    84.46    84.45
2      3  83.71  84.41  86.07  84.62    84.70    84.70
3      4  82.96  86.09  87.06  85.99    85.52    85.52
4      5  82.96  86.33  87.31  86.81    85.85    85.84
5      6  83.21  85.37  86.82  86.54    85.48    85.46
6      7  82.96  86.33  88.06  87.09    86.11    86.09
7      8  83.46  86.57  88.31  88.46    86.70    86.66
8      9  84.21  86.09  87.56  87.09    86.24    86.22
9     10  83.71  86.57  87.81  87.64    86.43    86.41
2023-11-30_03-43-40: Final test accuracy: {'40X': 84.71, '100X': 84.86, '200X': 92.31, '400X': 86.26, 'avg_acc': 87.04, 'all_acc': 87.04}
